gene_id,fd713184-4bb4-4e1b-a3b8-636273ee6ccc,a6a841ae-f63f-45ab-9a17-2288e12a9577,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb,32dd8db9-1e43-497e-a35a-664d7d15ed60,f6108b9b-e02f-4608-bec3-bcc0112d05b4,fbd81adc-aa56-4cde-b1f2-e749e2cbf653,525e9185-ed15-403d-8987-93c50e4b89a1
ENSG00000006116.4,0,0,0,2,0,1,1,0
ENSG00000006118.15,946,351,1167,2295,2231,4422,1710,1132
ENSG00000006125.18,10877,12328,9472,9803,14926,9983,11266,6706
ENSG00000006128.12,4,0,0,0,2,0,0,21
ENSG00000006194.10,1890,1049,1141,869,2218,1735,1882,532
ENSG00000006210.7,1458,2022,8726,5179,16740,17898,14073,2045
ENSG00000006282.21,1108,1977,4582,4665,5090,5322,4986,1342
ENSG00000006283.18,46,14,115,15,100,26,28,7
ENSG00000006327.14,2037,2780,5223,4541,8108,8562,10109,1913
ENSG00000006377.11,55,0,2,0,7,4,19,0
ENSG00000006432.15,2162,825,702,2098,1833,1794,2932,383
ENSG00000006451.8,1411,2502,1472,2809,5802,2311,2227,1776
ENSG00000006453.14,2139,4502,2235,3184,4149,3101,5465,571
ENSG00000006459.11,4822,1328,1276,1524,3294,1173,2510,831
ENSG00000006468.14,889,1366,5424,374,12459,644,7220,766
ENSG00000006530.18,1425,561,987,1285,1163,1271,1176,482
ENSG00000006534.16,3956,9374,3068,3387,2390,5440,6197,1279
ENSG00000006555.11,430,813,757,669,910,715,984,130
ENSG00000006576.16,1605,460,1035,929,2598,1361,956,1888
ENSG00000006606.9,4,39,1,15,20,83,4,30
ENSG00000006607.14,2563,2237,661,1346,1418,935,1618,853
ENSG00000006611.17,57,2404,6,28,21,35,2,3
ENSG00000006625.18,1007,360,1345,1026,2524,1051,1904,504
ENSG00000006634.8,518,343,212,490,764,385,286,272
ENSG00000006638.13,46,44,170,96,218,260,82,175
ENSG00000006652.15,457,100,162,696,1281,563,688,137
ENSG00000006659.13,2,0,0,0,0,0,0,0
ENSG00000006695.12,356,336,694,309,418,400,1070,392
ENSG00000006704.11,897,896,672,1851,1674,1534,2465,574
ENSG00000006712.15,1885,1959,3043,3176,5804,2282,3381,1009
ENSG00000006715.16,5130,2447,2351,1170,3910,1649,3206,1303
ENSG00000006740.17,582,460,1215,280,435,224,2421,486
ENSG00000006744.19,2073,1179,2822,1710,1719,2227,4258,1543
ENSG00000006747.15,594,2752,1510,1326,1761,2180,3740,2159
ENSG00000006756.16,4195,2991,3220,2188,5280,4290,3465,1367
ENSG00000006757.12,554,344,543,505,1435,1019,342,384
ENSG00000006788.14,2,0,2,4,13,18,0,2
ENSG00000006831.10,2433,4440,1984,2102,5333,2771,3567,1544
ENSG00000006837.12,21,9,11,21,39,18,96,7
ENSG00000007001.13,8,3,3,15,16,7,8,0
ENSG00000007038.11,334,10,5,13,28,15,2,174
ENSG00000007047.15,848,1107,1409,1707,2276,1076,1649,1004
ENSG00000007062.12,4499,2148,174,650,2802,2561,2255,405
ENSG00000007080.11,750,918,2552,1813,3465,1537,2928,868
ENSG00000007129.18,142,103,134,96,148,181,243,123
ENSG00000007168.14,6289,3609,4029,3223,5125,3341,5751,3557
ENSG00000007171.18,40,66,118,35,64,80,80,81
ENSG00000007174.18,3239,117,218,488,1527,2217,16,6
ENSG00000007202.15,7088,5968,3616,4041,5745,3682,5972,3500
ENSG00000007216.15,1068,7,4,1,7,15,0,131
ENSG00000007237.19,3084,1549,1319,1175,3436,1852,411,2479
ENSG00000007255.10,950,680,1033,1031,708,922,923,257
ENSG00000007264.15,161,215,218,680,321,492,81,61
ENSG00000007306.15,43,110,160,17,15,14,9,9
ENSG00000007312.13,225,34,210,311,122,285,21,51
ENSG00000007314.12,10,2,7,8,56,163,1,216
ENSG00000007341.19,707,185,257,349,420,302,525,204
ENSG00000007350.17,0,1,3,3,2,5,0,1
ENSG00000007372.24,3,30,0,3,3,3,0,0
ENSG00000007376.8,574,514,1189,701,1016,1616,1268,502
ENSG00000007384.15,1693,1718,3254,1275,3264,4102,4899,877
ENSG00000007392.17,1437,633,1235,1991,2488,3659,5126,545
ENSG00000007402.12,2240,2139,2471,71,4837,136,9212,547
ENSG00000007516.14,1559,698,360,369,1230,1979,538,202
ENSG00000007520.4,1031,710,1398,1015,1668,1807,2297,528
ENSG00000007541.17,1121,974,3020,1544,2915,3466,4075,660
ENSG00000007545.16,617,539,715,750,790,1186,1498,327
ENSG00000007866.22,1027,1342,2265,1542,2147,2049,5226,1327
ENSG00000007908.16,64,39,17,34,553,62,33,270
ENSG00000007923.16,1006,1186,744,817,1501,906,1146,561
ENSG00000007933.13,1184,159,474,254,1322,273,112,356
ENSG00000007944.15,2843,1079,1632,588,1630,1262,1464,719
ENSG00000007952.18,60,79,38,75,118,63,204,16
ENSG00000007968.7,139,234,150,287,200,218,37,166
ENSG00000008018.9,3191,2968,5896,4465,6687,4201,6444,2389
ENSG00000008056.14,11,28,26,65,50,49,16,81
ENSG00000008083.14,1849,717,729,701,1157,1023,1539,668
ENSG00000008086.13,2254,788,483,595,970,789,645,617
ENSG00000008118.10,22,52,59,21,57,58,10,41
ENSG00000008128.23,44,13,30,98,86,76,63,11
ENSG00000008130.15,2327,5018,1724,2866,4830,2393,3083,1456
ENSG00000008196.13,0,1,804,0,0,1,138,0
ENSG00000008197.5,0,0,0,27,38,0,162,1
ENSG00000008226.20,463,86,177,1116,670,1565,312,26
ENSG00000008256.16,6379,1019,3689,1477,10258,2009,2404,1824
ENSG00000008277.14,493,69,178,277,208,228,260,224
ENSG00000008282.9,4822,4045,4302,2789,10507,4054,5209,2806
ENSG00000008283.16,4367,5011,8218,5522,6228,6574,10696,3918
ENSG00000008294.21,8734,3949,3847,3465,8126,2801,7814,3362
ENSG00000008300.17,342,864,124,1871,246,378,472,104
ENSG00000008311.15,1633,891,2272,1534,848,854,2926,420
ENSG00000008323.15,241,898,206,765,508,2300,812,109
ENSG00000008324.12,285,288,567,590,936,686,693,251
ENSG00000008382.16,464,266,462,484,693,792,627,151
ENSG00000008394.13,2662,2161,20065,5542,22376,11239,11509,2165
ENSG00000008405.12,1069,658,451,474,1600,427,516,599
ENSG00000008438.5,9,4,1,2,3,1,0,0
ENSG00000008441.18,5007,2732,8646,974,6301,1872,3892,3703
ENSG00000008513.16,3867,4425,9759,1230,16360,2193,10643,2012
ENSG00000008516.17,70,89,126,89,192,238,55,60
ENSG00000008517.18,603,2193,2108,3731,3889,4552,880,2260
ENSG00000008710.20,2705,1315,1942,1730,2779,2189,2865,2676
ENSG00000008735.14,100,117,51,1216,227,216,128,111
ENSG00000008838.20,1762,2394,2254,4257,4063,4309,4046,1956
ENSG00000008853.17,1202,1930,14971,1196,2395,2258,18215,677
ENSG00000008869.12,2396,1367,1046,1455,1650,1310,1586,787
ENSG00000008952.17,6630,6233,5736,4312,12169,3389,6896,4712
ENSG00000008988.11,32293,12806,45107,20539,44170,31708,59587,17747
ENSG00000009307.16,23332,11273,17333,15423,23447,15869,17532,13640
ENSG00000009335.18,5240,3601,2397,3793,5076,2548,3704,2518
ENSG00000009413.16,3813,826,735,532,1657,592,1068,640
ENSG00000009694.13,171,12,23,263,118,342,44,33
ENSG00000009709.12,130,0,4,0,6772,1,2808,123
ENSG00000009724.17,49,38,52,71,73,95,76,12
ENSG00000009765.15,478,759,34,270,30,59,356,315
ENSG00000009780.16,897,463,435,584,920,451,662,243
ENSG00000009790.15,407,294,563,1219,431,526,92,155
ENSG00000009830.12,499,528,535,2222,1748,1605,1281,634
ENSG00000009844.16,1458,1525,1146,1094,1474,1081,764,985
ENSG00000009950.16,38,114,49,78,469,92,61,14
ENSG00000009954.11,8037,3628,3648,3969,7316,4345,4499,2943
ENSG00000010017.13,2599,1163,1931,922,1931,1171,3045,1450
ENSG00000010030.14,177,669,665,381,824,486,527,247
ENSG00000010072.16,1087,322,400,375,586,403,542,335
ENSG00000010165.20,1892,1395,1370,1247,1662,1279,2112,837
ENSG00000010219.13,378,258,724,513,963,750,737,241
ENSG00000010244.19,5784,4370,5258,4899,6827,4963,7420,2638
ENSG00000010256.11,3104,4554,6225,4638,6708,5800,6075,2610
ENSG00000010270.14,1388,995,1008,1630,3024,1144,1321,871
ENSG00000010278.15,11244,12352,10616,11844,18483,35440,16261,8681
ENSG00000010282.15,7,2,1133,23,705,27,2,0
ENSG00000010292.13,1463,3306,2579,2745,3230,4359,2033,1893
ENSG00000010295.20,298,306,466,1201,861,1334,182,423
ENSG00000010310.9,152,307,483,636,256,521,1467,34
ENSG00000010318.21,141,128,112,142,214,168,239,49
ENSG00000010319.7,423,309,789,265,417,480,190,644
ENSG00000010322.16,2487,2766,3493,4413,5547,3566,6046,2176
ENSG00000010327.10,4906,1198,1407,2655,9621,4770,548,4501
ENSG00000010361.14,443,307,485,710,604,569,583,180
ENSG00000010379.16,9,10,3,21,6,9,6,0
ENSG00000010404.18,567,324,271,275,1251,359,553,263
ENSG00000010438.17,6,832,44,144,22,67,3,13
ENSG00000010539.12,622,285,308,268,518,790,254,161
ENSG00000010610.10,2619,4681,4183,3400,10996,6470,1103,3176
ENSG00000010626.15,1204,272,763,946,1283,2258,897,144
ENSG00000010671.16,571,514,797,507,875,829,141,262
ENSG00000010704.18,626,775,1484,400,1129,897,1329,299
ENSG00000010803.16,969,1071,1281,1781,2041,1160,1497,903
ENSG00000010810.17,2991,1267,2868,2896,1971,2301,993,1560
ENSG00000010818.10,3127,1235,1174,1064,4182,1513,1397,1606
ENSG00000010932.17,107,21,47,92,303,56,9,456
ENSG00000011007.12,3794,2581,2948,1897,3121,1809,2659,1499
ENSG00000011009.11,1756,3218,3477,4084,4018,3917,4455,2032
ENSG00000011021.23,459,692,525,953,1482,952,1223,409
ENSG00000011028.14,4883,3170,12509,5336,9851,6884,9454,11518
ENSG00000011083.9,3,5,8,13,23,27,1,0
ENSG00000011105.14,1581,911,4513,1550,7693,3393,2026,2372
ENSG00000011114.15,3414,1860,1287,1107,3934,1375,1522,1050
ENSG00000011132.12,388,301,603,854,1061,467,686,279
ENSG00000011143.19,586,373,510,866,760,1004,987,263
ENSG00000011198.10,1230,828,925,570,2308,911,1184,587
ENSG00000011201.12,2010,691,1166,939,2440,2497,335,1697
ENSG00000011243.18,1180,428,877,1743,1722,1103,1665,345
ENSG00000011258.16,1517,641,480,863,800,805,1309,459
ENSG00000011260.14,1604,901,716,1138,1937,934,1418,755
ENSG00000011275.19,3039,1493,1813,2278,3292,2821,2134,1600
ENSG00000011295.16,1795,1599,2160,1221,1777,1523,3554,1075
ENSG00000011304.22,6842,7604,9897,10755,15685,9118,14352,5480
