gene_id,fd713184-4bb4-4e1b-a3b8-636273ee6ccc,a6a841ae-f63f-45ab-9a17-2288e12a9577,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb,32dd8db9-1e43-497e-a35a-664d7d15ed60,f6108b9b-e02f-4608-bec3-bcc0112d05b4,fbd81adc-aa56-4cde-b1f2-e749e2cbf653,525e9185-ed15-403d-8987-93c50e4b89a1
ENSG00000104415.14,1854,128,510,868,4197,820,49,2380
ENSG00000104419.17,18641,7758,9651,8968,30793,29860,21809,7469
ENSG00000104427.12,868,256,425,370,646,623,557,267
ENSG00000104432.14,254,199,170,77,291,100,197,50
ENSG00000104435.14,34,0,2,3,84,4,1,14
ENSG00000104442.10,2983,1028,971,848,1900,1267,1464,1128
ENSG00000104447.13,3249,453,357,762,1825,689,785,836
ENSG00000104450.13,2286,617,273,979,1462,825,848,433
ENSG00000104472.10,719,1240,1628,1432,2265,1517,2466,654
ENSG00000104490.18,2777,168,764,802,867,1213,2499,647
ENSG00000104497.14,699,212,252,248,740,213,625,303
ENSG00000104499.7,1,0,0,0,0,0,0,0
ENSG00000104517.13,13540,3289,1822,2578,5585,3045,5146,3844
ENSG00000104518.11,4103,2051,3035,4611,4736,4370,5952,763
ENSG00000104522.16,3798,8357,4644,4161,3471,3117,5059,1095
ENSG00000104524.14,1180,473,878,861,869,1089,1094,322
ENSG00000104529.17,3476,1354,2063,3138,3710,3130,4352,890
ENSG00000104537.17,10,174,1,9,5,12,0,10
ENSG00000104549.12,4553,2296,708,2156,4696,1051,2001,1674
ENSG00000104611.12,714,1537,2176,793,2981,1785,4701,685
ENSG00000104613.12,1913,987,1620,1147,3758,1520,2903,982
ENSG00000104626.15,636,369,488,566,1572,491,649,398
ENSG00000104635.15,1734,5235,882,821,3385,913,930,5106
ENSG00000104643.10,703,305,297,358,822,342,522,390
ENSG00000104660.19,1279,1507,1943,1403,2801,2593,2682,1073
ENSG00000104671.8,334,279,619,315,858,352,930,242
ENSG00000104679.12,558,533,1072,1021,1901,1297,1841,653
ENSG00000104687.14,2397,2618,4223,1384,6823,2863,3102,884
ENSG00000104689.10,709,619,646,380,1542,639,1258,234
ENSG00000104691.16,228,161,405,151,392,202,400,131
ENSG00000104695.13,2332,2241,5483,1575,8553,2260,5516,1593
ENSG00000104714.14,593,378,640,703,1062,605,1501,333
ENSG00000104722.14,0,4,3,3,2,3,1,2
ENSG00000104723.21,1687,1238,2480,1192,2863,2006,2407,1590
ENSG00000104728.16,84,14,13,40,35,37,43,24
ENSG00000104731.14,1134,724,1536,2376,979,1742,2010,386
ENSG00000104738.18,4268,1939,1820,2586,2563,3638,2056,1844
ENSG00000104755.15,0,0,0,1,0,0,0,2
ENSG00000104756.16,947,677,949,597,2220,624,1822,495
ENSG00000104760.17,27,3,4,15,433,90,135,2280
ENSG00000104763.20,8214,11473,15841,4067,24813,5782,21512,4918
ENSG00000104765.16,4709,2570,7696,2704,13617,4672,8502,2507
ENSG00000104774.13,3961,3204,6684,3368,7520,3890,3596,2748
ENSG00000104783.14,802,1966,8265,6822,6631,7804,4140,782
ENSG00000104804.8,9,4,7,10,7,15,1,3
ENSG00000104805.16,7451,8637,20386,8574,15296,11248,10136,8379
ENSG00000104808.8,57,81,234,25,61,38,104,0
ENSG00000104812.15,1278,1285,2829,2655,2448,2738,1643,1374
ENSG00000104814.13,257,255,635,1348,385,754,128,124
ENSG00000104823.9,1500,1687,4486,2605,2404,1168,4535,1109
ENSG00000104824.17,5425,4235,5146,5218,8555,5535,7205,2972
ENSG00000104825.17,566,901,1160,1461,1533,704,1645,515
ENSG00000104826.15,5,2,10,28,14,36,6,1
ENSG00000104827.12,2,0,0,8,0,4,2,0
ENSG00000104833.12,4,6,9,26,22,3,13,5
ENSG00000104835.15,60,32,59,99,89,54,79,36
ENSG00000104848.1,3,0,6,6,1,10,2,1
ENSG00000104852.15,3628,3665,7425,15676,8097,7684,12897,1914
ENSG00000104853.16,3269,4437,6265,4846,7864,3604,6736,4105
ENSG00000104856.14,639,824,1033,1176,2693,1294,596,744
ENSG00000104859.15,681,903,1482,3472,2177,1977,2804,453
ENSG00000104863.12,107,51,104,236,114,168,229,29
ENSG00000104866.11,1721,2362,1360,3884,2508,1691,3676,680
ENSG00000104870.13,6013,6535,20758,5515,8290,7119,6587,3885
ENSG00000104872.11,1290,1483,2257,2800,1718,1999,3932,861
ENSG00000104879.5,208,6,4,49,12,11,2,23
ENSG00000104880.18,1365,908,1478,1988,1909,1659,2220,609
ENSG00000104881.16,549,1654,2165,3696,2728,2489,4848,960
ENSG00000104883.8,146,103,166,153,344,237,279,48
ENSG00000104884.16,700,680,1038,1333,1171,1049,1124,712
ENSG00000104885.18,857,922,887,1545,1842,1204,2342,528
ENSG00000104886.12,1011,1142,1548,1906,1768,1475,1700,559
ENSG00000104888.10,7,11,44,22,14,40,8,8
ENSG00000104889.7,2,0,1,15,2,2,0,0
ENSG00000104892.17,102,7,165,672,149,238,54,29
ENSG00000104894.12,585,1755,1772,2189,1641,2857,466,442
ENSG00000104897.10,618,1039,2805,3072,3050,2798,1967,992
ENSG00000104899.8,1,35,0,49,36,6,59,0
ENSG00000104901.7,18,6,56,2,23,25,19,8
ENSG00000104903.5,210,172,348,240,264,373,198,145
ENSG00000104904.12,10722,8414,17649,13542,20524,15000,17953,5732
ENSG00000104907.12,850,455,1236,1802,1617,1711,2158,374
ENSG00000104915.15,960,705,2100,1940,2439,1756,4897,540
ENSG00000104918.8,2,66,197,48,37,227,7,44
ENSG00000104921.15,29,19,87,6,6,374,3,4
ENSG00000104936.19,264,424,814,2009,700,931,1283,455
ENSG00000104938.18,0,2,5,5,3,11,1,0
ENSG00000104941.8,1,0,5,2,0,3,0,2
ENSG00000104946.13,477,1446,1925,1845,2598,1770,2282,791
ENSG00000104951.16,319,463,240,629,1573,952,121,417
ENSG00000104953.20,131,87,645,221,615,318,250,28
ENSG00000104957.14,763,375,1005,1783,1322,1113,1504,279
ENSG00000104960.15,600,648,1002,2227,1911,1533,2397,467
ENSG00000104964.15,2147,5406,8656,8216,12595,7137,11334,2366
ENSG00000104967.8,65,147,257,93,320,274,88,214
ENSG00000104969.11,1176,1480,2812,2578,4368,2635,3667,1600
ENSG00000104970.11,9,3,4,11,11,1,0,1
ENSG00000104972.15,226,283,308,553,869,725,66,319
ENSG00000104973.19,958,1662,2754,2554,2376,2198,2606,1088
ENSG00000104974.12,18,70,99,31,134,75,11,34
ENSG00000104976.12,280,408,899,1032,1545,881,1315,397
ENSG00000104979.9,1053,1015,3384,2424,4567,2059,3041,1003
ENSG00000104980.8,735,445,1185,1036,1537,904,1338,414
ENSG00000104983.8,292,265,448,478,362,296,662,175
ENSG00000104998.4,2080,457,5228,2028,7397,3560,4271,646
ENSG00000105011.9,258,470,537,914,729,638,224,207
ENSG00000105048.17,16,53,43,385,535,3401,349,28
ENSG00000105053.11,1051,2004,1375,1589,1574,1417,1292,634
ENSG00000105058.12,1805,1830,3057,2365,4131,2568,3014,1252
ENSG00000105063.19,3032,6052,3739,5276,5973,3278,4669,2076
ENSG00000105072.9,232,93,198,186,249,206,218,112
ENSG00000105085.11,335,121,320,261,501,212,309,94
ENSG00000105088.8,245,50,1010,331,4188,581,368,354
ENSG00000105122.13,381,418,892,2905,1076,1459,283,303
ENSG00000105127.9,1349,738,1103,1263,1985,1277,1910,539
ENSG00000105131.8,234,282,927,143,699,590,1924,281
ENSG00000105135.16,1687,1281,2325,1711,3730,2702,3517,834
ENSG00000105136.21,443,260,453,509,605,335,474,131
ENSG00000105137.13,418,204,518,420,1090,775,290,922
ENSG00000105141.6,0,2,0,0,1,1,5,0
ENSG00000105143.12,2,0,0,0,0,0,1,9
ENSG00000105146.13,26,20,14,83,40,41,50,12
ENSG00000105171.10,1317,764,1045,1105,1558,852,903,552
ENSG00000105173.14,149,104,169,523,166,354,76,83
ENSG00000105176.18,3675,1865,2386,2035,3722,1609,2203,1595
ENSG00000105185.12,1219,917,1731,2120,2093,1300,1503,866
ENSG00000105186.16,2228,1135,1135,1616,1543,967,1423,820
ENSG00000105193.9,5120,13886,26844,22894,32681,17650,39689,12726
ENSG00000105197.11,1294,1145,1795,2349,3057,1581,1971,1061
ENSG00000105198.11,0,0,0,0,0,0,0,47
ENSG00000105202.9,3298,2174,4726,3516,5682,3227,3961,1985
ENSG00000105204.14,493,572,731,1612,1039,991,1357,525
ENSG00000105205.7,6,9,0,0,3,0,0,19
ENSG00000105219.10,78,1,34,272,9,64,42,44
ENSG00000105220.17,6018,6402,14682,12780,19587,9145,9048,5396
ENSG00000105221.18,3121,2465,3829,5495,5844,3434,5484,2479
ENSG00000105223.20,8348,11322,69809,15004,26652,11604,29288,6999
ENSG00000105227.16,430,783,1727,439,609,481,970,125
ENSG00000105229.7,653,423,663,895,1465,679,1192,374
ENSG00000105245.9,543,313,782,1613,2871,1005,1181,845
ENSG00000105246.6,51,44,171,192,245,279,48,29
ENSG00000105248.16,481,333,867,594,1183,683,646,218
ENSG00000105251.11,8,8,7,7,0,20,1,4
ENSG00000105254.12,2353,1285,2527,2825,2790,2435,2779,1228
ENSG00000105255.11,23,2,8,20,61,59,7,7
ENSG00000105258.9,161,71,150,247,180,159,177,69
ENSG00000105261.7,15,2,7,4,9,1,15,7
ENSG00000105270.15,124,168,399,474,788,617,161,883
ENSG00000105278.12,12,7,6,13,108,675,0,4
ENSG00000105281.12,3719,5124,12240,4186,3297,3054,7237,3487
ENSG00000105287.13,1481,2705,3123,4145,2934,2540,3144,1389
ENSG00000105289.15,1728,2490,2800,1230,2314,1551,6047,174
ENSG00000105290.13,60,61,976,1399,1331,436,160,190
ENSG00000105298.14,515,319,609,744,959,637,830,213
ENSG00000105321.14,636,943,1286,1542,1595,1142,1502,497
ENSG00000105323.17,7240,8227,12075,9650,14600,7910,9815,6088
ENSG00000105325.15,1391,1123,1883,2850,3176,2203,3012,708
ENSG00000105327.18,365,311,648,691,874,579,928,85
ENSG00000105329.11,1857,3535,5717,4600,4657,3869,4589,4498
ENSG00000105339.11,3305,1503,1146,1997,2576,2356,2592,522
ENSG00000105341.19,955,1054,1408,1416,2508,1077,1945,913
ENSG00000105352.10,268,27,153,14,214,83,15,24
ENSG00000105355.9,1834,2182,2450,2064,4858,2314,3899,1525
ENSG00000105357.19,6714,16082,7889,8918,13665,4221,13170,1894
ENSG00000105364.14,720,411,1154,1012,1348,858,1273,424
ENSG00000105366.15,70,88,135,23,77,23,37,17
ENSG00000105369.10,1487,207,2239,3621,979,1562,84,478
ENSG00000105370.8,0,0,0,0,1,0,0,0
ENSG00000105372.8,24362,15812,29611,28060,38010,19892,34256,13413
ENSG00000105373.19,5525,7232,21413,8116,11758,6523,20697,3995
ENSG00000105374.10,77,315,406,2899,406,598,73,70
ENSG00000105376.5,574,78,233,368,208,592,2826,55
ENSG00000105379.10,396,747,843,691,1138,630,1997,124
ENSG00000105383.15,104,310,361,160,358,467,54,133
ENSG00000105388.16,34466,81284,488,63532,560,3497,103634,45340
ENSG00000105392.16,2,0,1,0,0,2,0,0
ENSG00000105393.16,501,303,702,1209,1155,1014,990,269
ENSG00000105397.14,3996,1521,3577,5417,4783,4167,5491,1277
ENSG00000105398.4,1,1,0,0,1,0,0,0
ENSG00000105401.9,5533,3893,5488,7993,7728,6630,7580,2181
ENSG00000105402.8,1016,1552,1699,1301,1909,989,2328,740
ENSG00000105404.11,413,225,463,858,629,486,580,264
ENSG00000105409.19,2,4,16,35,7,10,2,3
ENSG00000105419.18,174,45,121,360,505,528,57,632
ENSG00000105426.17,3937,479,2539,1247,3697,1535,2633,882
ENSG00000105427.10,13,4,186,110,151,153,166,16
ENSG00000105429.13,2021,1331,2728,3103,4757,1795,2096,2062
ENSG00000105438.9,3583,8725,13552,12754,8952,10248,11324,7291
ENSG00000105443.15,1801,2636,2518,4715,2101,4190,7850,1056
ENSG00000105447.13,1254,1355,1476,1530,1497,1035,2142,960
ENSG00000105464.3,513,549,116,68,106,1731,22,158
ENSG00000105467.9,47,2,9,81,4,15,6,3
ENSG00000105472.13,267,102,363,582,1506,813,266,939
ENSG00000105479.16,625,82,272,921,544,972,285,15
ENSG00000105483.18,1351,977,1284,1734,1664,1236,1026,646
ENSG00000105486.14,871,706,1250,1613,754,1139,1302,314
ENSG00000105492.16,76,74,415,41,122,67,44,29
ENSG00000105497.8,513,468,419,382,857,325,334,132
ENSG00000105499.14,181,126,265,205,431,210,135,140
ENSG00000105501.12,4,2,2,3,5,4,0,7
ENSG00000105507.3,0,0,0,0,0,1,0,0
ENSG00000105509.11,28,4,1,21,26,34,2,123
ENSG00000105514.8,1948,735,1252,683,2026,588,1969,430
ENSG00000105516.11,342,410,691,896,1137,497,1125,132
ENSG00000105518.14,775,247,1393,933,2372,795,1845,275
ENSG00000105519.18,5124,803,1049,4671,3043,5575,2261,114
ENSG00000105520.10,427,350,1446,1064,2634,999,2355,1185
ENSG00000105523.3,1158,3656,2131,2005,1156,411,5032,54
ENSG00000105538.10,273,232,477,330,592,586,223,481
ENSG00000105549.11,18,0,1,86,4,19,18,21
ENSG00000105550.10,0,1,0,0,0,0,0,0
ENSG00000105552.15,961,901,2625,1625,1011,992,3758,651
ENSG00000105556.11,523,411,783,1220,1252,968,1218,455
ENSG00000105559.12,431,771,6327,1104,2389,1353,2535,907
ENSG00000105568.18,6413,7644,10104,8748,11583,8369,9513,5217
ENSG00000105576.15,1982,1749,2452,3111,4822,3237,3487,1654
ENSG00000105605.7,0,1,1,0,0,2,0,2
ENSG00000105607.13,932,232,1056,737,1061,663,1456,282
ENSG00000105609.17,111,432,62,253,351,178,19,247
ENSG00000105610.6,3,1,0,4,4,12,4,1
ENSG00000105612.9,1936,1706,3102,2280,3915,2696,3208,1103
ENSG00000105613.10,47,7,22,138,25,93,45,21
ENSG00000105617.4,326,195,365,513,456,327,320,130
ENSG00000105618.14,1034,769,1453,2004,2111,1357,2069,603
ENSG00000105619.13,238,320,448,670,684,492,339,178
ENSG00000105639.20,957,575,1301,2715,1691,2597,1213,679
ENSG00000105640.13,8422,4934,12557,9254,15712,9829,16231,4657
ENSG00000105641.4,38,268,11,4,16,62,15,16
ENSG00000105642.15,5,4,12,17,11,39,7,4
ENSG00000105643.10,2230,902,2906,1844,2441,2168,3278,412
ENSG00000105647.19,4,1,3,7,7,12,17,2
ENSG00000105649.10,51,36,135,101,206,61,196,66
ENSG00000105650.22,4,0,5,1,1,3,5,2
ENSG00000105655.19,840,458,2501,1836,1897,2062,3879,1002
ENSG00000105656.13,969,536,805,885,1732,621,1031,477
ENSG00000105662.16,481,569,1154,1131,1277,892,1474,400
ENSG00000105664.11,5054,33,254,1558,2817,12874,64,7407
ENSG00000105668.7,0,0,5,2,3,17,0,1
ENSG00000105669.14,1849,1283,3278,3316,3857,2659,3146,1243
ENSG00000105671.12,1319,621,1698,1143,1831,1113,1834,778
ENSG00000105672.14,24,5,33,37,37,20,48,20
ENSG00000105675.9,2,0,0,0,2,0,1,0
ENSG00000105676.14,963,539,1001,914,1274,807,1120,539
ENSG00000105677.12,2228,1110,2595,2944,2855,1680,2617,1468
ENSG00000105679.9,2,0,1,2,1,2,1,0
ENSG00000105694.3,0,0,0,1,1,1,6,1
ENSG00000105695.15,8,28,1,13,0,23,0,14
ENSG00000105696.9,50,9,31,1283,159,409,62,598
ENSG00000105697.9,6,263,14,57,197,56,12,26
ENSG00000105698.16,2099,3622,3886,4715,6493,3114,3782,2005
ENSG00000105699.16,6429,18875,45838,14152,9659,7673,9954,4275
ENSG00000105700.11,614,666,1442,1194,1920,1064,1303,552
ENSG00000105701.16,5191,4985,13678,9748,11416,10274,12380,3619
ENSG00000105705.16,902,617,1279,1290,1668,1088,1464,467
ENSG00000105707.14,1341,312,3976,1662,4037,1003,1837,119
ENSG00000105708.9,988,194,321,242,642,273,149,106
ENSG00000105711.13,329,123,206,269,1203,256,160,271
ENSG00000105717.14,150,57,152,230,130,203,168,20
ENSG00000105722.10,904,1375,1483,1696,3436,1255,3495,841
ENSG00000105723.13,447,1131,1324,2253,2117,1353,1830,840
ENSG00000105726.17,2477,2233,4520,3588,4850,3462,4632,2105
ENSG00000105732.13,715,886,905,1207,1327,738,1220,527
ENSG00000105737.9,23,9,26,59,192,45,15,590
ENSG00000105738.11,5873,2973,2694,3832,4929,2321,3900,1880
ENSG00000105750.15,542,73,232,250,240,508,80,98
ENSG00000105755.8,300,950,684,581,1168,627,509,195
ENSG00000105767.3,732,230,897,1504,1576,876,1617,616
ENSG00000105771.14,618,889,1584,2048,2862,1490,1751,1118
ENSG00000105778.19,3896,2420,1730,2468,4375,2359,3226,1362
ENSG00000105784.15,103,4,23,23,35,34,16,34
ENSG00000105792.19,715,80,119,357,405,372,287,140
ENSG00000105793.16,1508,611,570,636,1105,699,832,394
ENSG00000105808.18,16,15,20,79,36,104,50,16
ENSG00000105810.10,2361,1091,312,611,3976,1215,885,1473
ENSG00000105819.14,2350,1282,2324,1702,3162,2015,3578,956
ENSG00000105821.15,1198,667,754,955,1959,1099,1075,504
ENSG00000105825.14,1881,65,6251,3209,1686,1905,1393,7317
ENSG00000105829.13,980,606,2543,960,2049,1133,1644,644
ENSG00000105835.12,6986,3634,3129,4670,45923,4893,23082,4641
ENSG00000105849.6,1286,585,669,601,1638,595,814,578
ENSG00000105851.11,1666,613,613,1075,1200,646,84,445
ENSG00000105852.11,2280,299,3521,1818,879,1916,3752,580
ENSG00000105854.13,4619,2206,12091,8073,5618,15189,16804,2737
ENSG00000105855.10,2733,1126,272,2456,2450,1912,413,598
ENSG00000105856.14,3740,1446,1436,781,3182,873,1910,975
ENSG00000105865.11,169,74,105,265,284,280,184,76
ENSG00000105866.15,1904,334,413,374,851,321,339,313
ENSG00000105875.14,2019,635,1868,1989,1309,1063,1069,542
ENSG00000105877.18,5197,89,618,736,875,1232,1520,67
ENSG00000105879.12,900,967,808,851,1858,852,871,646
ENSG00000105880.7,47,0,4,3,26,41,15,36
ENSG00000105887.11,6398,5759,4145,4394,12108,4520,4196,4572
ENSG00000105889.16,30,7,11,46,112,26,11,38
ENSG00000105894.12,268,98,883,177,30390,305,170,57
ENSG00000105926.16,1139,63,620,225,1558,187,534,390
ENSG00000105928.16,333,540,1105,757,863,883,842,451
ENSG00000105929.16,746,15,944,134,41,104,27,134
ENSG00000105939.13,5383,2851,1461,1927,4038,2088,1938,1789
ENSG00000105948.13,1235,251,433,518,635,749,337,219
ENSG00000105953.15,4758,5377,4777,4627,6341,3263,4373,2787
ENSG00000105963.15,96,1071,259,391,390,520,602,67
ENSG00000105967.16,743,339,184,342,1145,291,35,177
ENSG00000105968.19,6401,4076,5197,4615,9749,4616,5084,3703
ENSG00000105971.15,3646,2907,1462,2329,4516,2914,3951,1311
ENSG00000105974.13,5980,3904,3167,3103,4637,4136,2699,1726
ENSG00000105976.16,16967,7725,4990,8414,29078,19281,7338,2354
ENSG00000105982.17,100,57,45,64,65,68,45,24
ENSG00000105983.22,3667,1530,1356,1505,3197,1678,1841,1420
ENSG00000105988.6,11,5,2,0,4,1,93,0
ENSG00000105989.10,264,175,211,92,660,135,12,1289
ENSG00000105991.10,38,10,7,49,32,37,3,215
ENSG00000105993.15,3335,2158,2012,3460,4640,2549,3457,2499
ENSG00000105996.7,27,11,16,138,21,67,12,80
ENSG00000105997.22,48,122,44,663,142,457,43,249
ENSG00000106003.13,3242,3992,1117,3509,2475,2408,1195,1131
ENSG00000106004.5,149,166,141,212,169,160,93,274
ENSG00000106006.6,23,8,7,16,13,2,2,21
ENSG00000106009.16,1655,976,2134,2978,3269,3025,3594,985
ENSG00000106012.18,2216,1673,1762,2136,2017,1796,2826,575
ENSG00000106013.15,15,0,0,19,32,17,8,3
ENSG00000106018.14,27,3,9,32,407,9,6,60
ENSG00000106025.9,1217,1455,862,895,1462,1764,2413,852
ENSG00000106028.11,2065,1443,2468,2372,2998,2425,2163,1032
ENSG00000106031.9,3,94,0,4,76,24,10,48
ENSG00000106034.18,1080,381,272,136,846,345,156,441
ENSG00000106038.13,1,66,0,3,22,15,0,0
ENSG00000106049.9,1431,920,1188,1298,3098,1250,1573,680
ENSG00000106052.13,9510,5898,4505,6237,11372,5682,7908,2951
ENSG00000106066.15,1324,2309,1241,340,2004,535,163,889
ENSG00000106069.23,23,8,5,2,14,6,4,3
ENSG00000106070.20,3325,894,1164,2797,4165,3072,854,1421
ENSG00000106077.18,1383,1322,2038,4776,1511,5524,2202,655
ENSG00000106078.19,497,1740,842,1161,1054,800,1553,168
ENSG00000106080.11,1145,290,585,603,1572,718,652,975
ENSG00000106086.20,1460,326,304,627,1195,412,709,501
ENSG00000106089.12,127,665,177,1451,1322,1184,1024,152
ENSG00000106100.11,1229,432,1449,578,1575,868,1695,473
ENSG00000106105.15,3519,3155,2818,3971,7602,3013,4574,3723
ENSG00000106113.19,8,0,8,15,2,10,26,55
ENSG00000106123.12,201,1377,847,223,411,297,206,109
ENSG00000106125.14,92,14,48,53,34,46,64,15
ENSG00000106128.19,2,5,0,0,0,1,0,0
ENSG00000106133.18,0,4,8,18,12,25,42,6
ENSG00000106144.20,1023,1309,1746,2417,2111,2786,1444,1034
ENSG00000106153.13,5567,4574,5832,5058,8496,6011,7580,2875
ENSG00000106178.7,60,27,23,23,36,176,12,394
ENSG00000106211.10,6764,5340,25258,23319,77718,24963,17893,8212
ENSG00000106236.4,326,5,26,93,594,109,5,73
ENSG00000106244.13,2745,2662,3558,4636,6750,5164,5502,2506
ENSG00000106245.11,932,661,813,1114,1811,1350,1101,606
ENSG00000106246.18,124,64,78,167,57,175,151,57
ENSG00000106258.15,443,4833,183,464,282,190,313,98
ENSG00000106261.17,6553,5773,1610,2322,4787,3212,2339,2545
ENSG00000106263.18,7791,5375,5847,8212,9611,9441,9739,4923
ENSG00000106266.11,1139,2187,1408,2051,2463,1993,1371,741
ENSG00000106268.15,351,208,456,529,612,800,669,232
ENSG00000106278.12,2396,246,29,193,102,457,106,654
ENSG00000106290.15,816,807,1118,1105,1857,1107,1465,660
ENSG00000106299.8,3348,3543,2301,2121,5629,2781,4289,2248
ENSG00000106302.10,3,1,1,1,19,18,3,0
ENSG00000106304.15,0,0,0,3,0,0,0,0
ENSG00000106305.10,674,276,404,416,478,419,529,307
ENSG00000106327.13,30,58,159,150,88,108,152,40
ENSG00000106328.10,2,2,0,5,8,4,2,2
ENSG00000106330.12,185,559,1015,947,864,1218,1280,519
ENSG00000106333.13,759,425,1464,3006,5229,3953,669,4720
ENSG00000106336.13,16,7,11,25,26,14,19,2
ENSG00000106341.11,6,0,0,1,4,0,13,1
ENSG00000106344.8,1741,669,897,1291,1824,1581,1015,694
ENSG00000106346.11,887,538,409,738,1366,708,766,458
ENSG00000106348.18,2171,3814,1919,4590,2774,4576,3128,1946
ENSG00000106351.13,802,1706,1328,1434,1083,988,2026,346
ENSG00000106355.10,1000,697,960,1309,1932,1406,1118,539
ENSG00000106366.9,10393,1929,1335,1863,6771,6271,1089,13862
ENSG00000106367.15,952,2032,2412,1920,2964,2160,3191,679
ENSG00000106384.12,1,41,0,0,0,3,0,0
ENSG00000106392.11,2066,3988,1078,1729,4033,1322,2084,843
ENSG00000106397.12,2103,4385,2955,3467,5290,4094,3618,2935
ENSG00000106399.11,966,533,633,1059,1215,994,865,240
ENSG00000106400.12,1994,1636,3460,3267,3637,3276,5274,1374
ENSG00000106404.14,194,150,325,637,238,462,324,100
ENSG00000106415.13,1812,423,1050,1191,1191,722,282,277
ENSG00000106436.7,0,0,0,1,0,0,0,1
ENSG00000106443.17,3364,1235,1129,1066,3000,994,1585,879
ENSG00000106459.15,945,450,530,689,954,717,842,351
ENSG00000106460.19,6784,3725,2721,3010,6395,2835,3336,1728
ENSG00000106462.11,481,531,539,1352,705,847,613,315
ENSG00000106477.20,774,353,670,567,854,749,809,322
ENSG00000106479.11,604,298,568,986,783,1066,1040,240
ENSG00000106483.12,5488,82,762,889,6677,1247,284,37471
ENSG00000106484.16,1481,843,1194,1427,1962,1838,1146,1510
ENSG00000106511.6,312,186,169,88,133,149,24,289
ENSG00000106524.9,828,671,436,502,1605,625,903,307
ENSG00000106526.10,222,54,131,59,250,115,144,73
ENSG00000106536.21,65,36,2,137,9,134,152,13
ENSG00000106537.8,9220,5860,5715,6247,10180,3591,6292,3682
ENSG00000106538.10,1687,735,1850,3071,6404,3895,1156,6953
ENSG00000106541.12,15094,49431,10500,9799,33349,10234,32173,10168
ENSG00000106546.14,6896,5186,5919,3527,15449,3403,6467,1684
ENSG00000106554.13,1602,1319,1063,1362,2431,1527,1434,1071
ENSG00000106560.11,662,601,390,626,749,419,326,180
ENSG00000106565.18,997,4684,5265,2415,8423,5678,11869,3505
ENSG00000106571.15,751,207,789,335,1377,426,158,818
ENSG00000106588.12,113,32,30,69,81,47,94,20
ENSG00000106591.4,1129,722,1750,1341,2479,1163,1526,606
ENSG00000106603.19,1932,687,1254,1560,2736,1485,2040,671
ENSG00000106605.11,1830,1164,2552,2654,4656,2307,4614,1038
ENSG00000106608.17,2076,1449,1310,2283,3045,2101,2298,691
ENSG00000106609.16,6259,5421,6126,5208,10431,6790,6163,4538
ENSG00000106610.15,357,109,135,214,332,368,439,180
ENSG00000106615.10,2473,1593,2896,3304,4050,3199,3766,2082
ENSG00000106617.15,1496,620,781,902,1182,897,1022,653
ENSG00000106624.11,10564,5371,8603,13705,54058,24063,3984,89178
ENSG00000106628.11,2523,1725,2977,2283,4246,2560,3721,1460
ENSG00000106631.8,0,0,1,0,1,3,1,1
ENSG00000106633.17,7,5,2,11,20,7,5,0
ENSG00000106635.8,747,1717,1965,2362,3947,2563,3303,982
ENSG00000106636.9,3112,3712,2975,5539,7661,4458,3988,2972
ENSG00000106638.17,2807,1735,2052,1942,3366,2338,2804,1371
ENSG00000106648.14,1,0,0,1,0,0,0,0
ENSG00000106665.16,965,1861,778,842,1743,2210,341,721
ENSG00000106682.15,7066,7153,8106,7289,13265,8596,9051,4575
ENSG00000106683.15,2282,2180,5008,6985,7544,10134,3225,2153
ENSG00000106686.16,467,118,272,196,248,119,434,26
ENSG00000106688.12,1934,1029,1092,494,213,508,74,318
ENSG00000106689.11,2,1,2,21,6,4,2,4
ENSG00000106692.15,1273,870,316,743,1981,526,625,457
ENSG00000106701.13,612,121,84,227,282,297,96,91
ENSG00000106714.17,81,10,18,10,118,62,204,6
ENSG00000106723.17,3005,2430,1559,1502,4586,2586,3451,2088
ENSG00000106733.21,749,857,1012,936,1077,986,1177,290
ENSG00000106771.13,6481,4800,3141,2220,9077,2329,3144,1917
ENSG00000106772.18,7720,104,164,200,479,770,45,745
ENSG00000106780.9,2913,2968,1843,1258,5182,826,2282,1016
ENSG00000106785.15,1163,3349,1611,2553,5683,1792,1693,730
ENSG00000106789.13,1924,4252,912,1366,2751,1140,2110,392
ENSG00000106799.13,3881,2130,1249,1242,4502,2512,1519,3629
ENSG00000106803.10,1511,1494,3027,2413,6092,2654,3377,1381
ENSG00000106804.8,3712,454,375,250,360,183,1165,635
ENSG00000106809.11,879,44,121,274,254,756,13,233
ENSG00000106819.13,2587,100,309,1617,1890,1799,208,3787
ENSG00000106823.12,1051,119,288,223,836,315,86,1316
ENSG00000106829.20,718,1288,636,714,971,606,461,468
ENSG00000106852.15,199,44,110,60,193,130,43,135
ENSG00000106853.20,910,2396,636,871,3635,1160,1517,798
ENSG00000106868.17,982,1103,597,628,1390,1183,570,482
ENSG00000106927.12,54,82,53,3,20,6,65,29
ENSG00000106948.17,3141,2114,2815,5008,4199,3529,1893,1047
ENSG00000106952.7,438,119,143,109,220,123,9,114
ENSG00000106976.21,306,84,229,840,787,814,369,387
